id,pharmacy_name,address,latitude,longitude,phone_number,opening_time,closing_time,rating
1,CarePlus Pharmacy #1,"3178 Gallegos Mill, Pricechester, MT 69728",11.058939657565832,77.01211952413564,586.958.4568x1423,08:00,22:00,4.61
2,WellCare Medical #2,"87273 Lynch Pike, Lake Scottside, MS 00998",10.99554392164037,77.07062096424413,(427)993-8946x3182,08:00,22:00,4.53
3,WellCare Medical #3,"13695 Elliott Fort, New Erikhaven, IA 85639",11.036250473903442,77.0202597909571,943.334.9953x114,08:00,22:00,4.4
4,CarePlus Pharmacy #4,"970 Johnson Ways Apt. 879, Nicholasport, NC 48474",11.021029351265605,77.06271061697369,001-743-807-8976x11783,08:00,22:00,4.19
5,WellCare Medical #5,"00787 Christopher Estates, Stevenland, IN 70910",10.999786182546169,77.0194066788431,417-593-5126x1164,08:00,22:00,3.85
6,Apollo Pharmacy #6,"84790 Victor Curve Apt. 110, Port Teresa, LA 74368",11.059657442220262,77.02063947280422,(439)336-2833,08:00,22:00,3.59
7,LifeLine Pharmacy #7,"8372 Jesse Way Suite 340, West Carlaton, VA 02773",11.07231182447083,76.9886732402995,001-702-634-1864x99092,08:00,22:00,4.82
8,Apollo Pharmacy #8,"949 Joshua Haven, South Ronniestad, VT 57361",10.997932624247683,76.99474132433882,9782623139,08:00,22:00,3.89
9,MedPlus #9,"383 Powell Vista Suite 489, New Michaelville, CO 67445",11.070518442418026,77.00553750583389,+1-946-771-1240x294,08:00,22:00,4.4
10,Community Pharmacy #10,"653 Horton Mews Apt. 133, South Melissa, SD 82464",11.006566286119874,77.02679144163368,240.454.8299x9776,08:00,22:00,4.61
11,WellCare Medical #11,"30701 Tasha Trail, Millerside, WI 73982",10.98817681784261,77.01466036796134,+1-984-401-6857x5616,08:00,22:00,3.59
12,NetMeds Partner #12,"33145 Jason Stream, Jessicaport, ME 94383",11.056203285406173,77.05840366601726,740.852.9723x7559,08:00,22:00,4.2
13,LifeLine Pharmacy #13,"397 Crystal Villages, West Anthony, WI 46546",11.041037970890583,77.05628693263124,001-566-845-0514x201,08:00,22:00,4.32
14,Sri Medical Store #14,"USNS Perez, FPO AP 74894",11.031960741397485,77.02897060499356,200-378-1104,08:00,22:00,4.62
15,HealthFirst Pharmacy #15,"1994 Mitchell Field, New Phillip, AZ 37735",10.98783106940911,77.01518521550494,610.824.1136x092,08:00,22:00,4.52
16,LifeLine Pharmacy #16,"84777 Boyd Mountains, East Tammyport, PW 74720",11.047760748376778,77.05558553777014,885-601-6189,08:00,22:00,4.94
17,Apollo Pharmacy #17,"6680 Boyd Groves, South Vickiland, AL 54672",11.033394080274046,77.07020335192361,(883)345-8881x45913,08:00,22:00,4.25
18,NetMeds Partner #18,"46600 David Cove, Timothyview, MI 43699",11.035368310192265,77.01891742360796,876-266-2062x9874,08:00,22:00,4.87
19,MedPlus #19,"9721 Rebekah Shores Suite 537, Murrayview, VT 32020",11.010961946369273,77.0062055198943,001-200-529-9429x45880,08:00,22:00,4.56
20,NetMeds Partner #20,"3131 Horton Ridges Apt. 553, Sethburgh, KS 60320",11.06145925464859,77.02007284021683,(499)255-3412x9261,08:00,22:00,3.64
21,Apollo Pharmacy #21,"Unit 8851 Box 9479, DPO AP 30381",11.049540907419582,77.0298990864674,208.491.8909x90168,08:00,22:00,4.36
22,CityCare Medicals #22,"4716 Teresa Locks Apt. 882, Edwardmouth, AR 28548",10.987026055726647,77.068550528252,(485)840-3835,08:00,22:00,4.24
23,Community Pharmacy #23,"075 Murray View Suite 102, Roseberg, NM 37024",11.06216044920193,77.0520061603745,(957)456-6722x1753,08:00,22:00,4.41
24,WellCare Medical #24,"893 Timothy Isle, Melendezville, UT 88149",11.003702969588472,77.05199236057805,(821)957-8258x799,08:00,22:00,4.76
25,NetMeds Partner #25,"4048 Anthony Circles, South Alan, LA 25049",10.987435758193069,76.98658676038166,001-497-699-2637x12712,08:00,22:00,4.42
26,HealthFirst Pharmacy #26,"5631 Stewart Alley Suite 438, North Kristen, DC 53600",10.99104276533616,77.02050384117469,533-965-2351,08:00,22:00,4.72
27,HealthFirst Pharmacy #27,"35005 Boone Radial Apt. 435, Mistyberg, KS 78875",11.04795902508897,77.07223252389736,001-233-378-3284x970,08:00,22:00,4.87
28,WellCare Medical #28,"9440 Robert Glen, North Deborah, LA 78596",11.008397198231144,77.04223543795284,+1-348-363-7314,08:00,22:00,4.1
29,HealthFirst Pharmacy #29,"19663 Drew Vista Apt. 202, Wongborough, OH 35054",10.984015336674506,76.98739752946052,001-239-589-1525x217,08:00,22:00,4.12
30,WellCare Medical #30,"070 Bryant Garden Apt. 469, Brownview, WV 89499",11.003793863575565,77.02562014082557,+1-991-649-4258x8443,08:00,22:00,3.64
31,WellCare Medical #31,"USNS Russell, FPO AP 50893",11.044830516086098,77.03482582605858,001-860-200-5212x702,08:00,22:00,4.9
32,Apollo Pharmacy #32,"424 Benton Corner, Lake Carlhaven, MS 97354",11.052824281781525,77.05876859597947,408-968-3668x74400,08:00,22:00,4.66
33,HealthFirst Pharmacy #33,"0409 Stacey Tunnel Suite 535, Lake Williamberg, VI 69705",11.04610767280511,76.98612538513676,(526)942-1023x8417,08:00,22:00,4.55
34,Sri Medical Store #34,"Unit 9141 Box 2605, DPO AA 41588",11.015668483668012,77.04321755180653,5464718180,08:00,22:00,4.37
35,MedPlus #35,"70767 Donna Street Suite 204, Turnermouth, CA 83339",10.991597443359646,77.05993576965112,001-916-506-8533x4174,08:00,22:00,4.15
36,Sri Medical Store #36,"338 Morgan Unions Suite 371, Foxburgh, PW 85204",11.029739874905443,76.9856693099161,+1-741-970-7418x666,08:00,22:00,4.59
37,Sri Medical Store #37,"PSC 4029, Box 5619, APO AA 18510",11.001861118594604,77.01667855629397,001-638-646-2690x51608,08:00,22:00,4.41
38,Apollo Pharmacy #38,"12143 Kennedy Isle Suite 301, Jonathanville, NJ 66716",10.989884160437114,77.03165550371928,001-569-981-9188x802,08:00,22:00,4.48
39,Sri Medical Store #39,"151 Margaret Coves Apt. 356, North Christopher, KS 75657",11.000379893344263,77.04063449416547,543-959-4394,08:00,22:00,4.34
40,HealthFirst Pharmacy #40,"USCGC Brown, FPO AP 16820",11.026623984687594,77.01342804705489,827.226.9719,08:00,22:00,4.95
41,NetMeds Partner #41,"643 Hunt Rapid Suite 945, Tinamouth, OR 30730",10.988024464535002,77.0449834182633,001-743-948-1795x18405,08:00,22:00,3.88
42,Apollo Pharmacy #42,"94673 Sharon Meadow Suite 921, Pachecoshire, ID 46401",11.04424988250509,77.0206670534126,001-741-444-6525x2645,08:00,22:00,4.24
43,HealthFirst Pharmacy #43,"PSC 7131, Box 0546, APO AA 35942",11.01570740648935,77.01298958286749,+1-392-699-9516x8732,08:00,22:00,4.47
44,CityCare Medicals #44,"715 Catherine Rapid Apt. 741, Nicoleborough, OH 32748",11.017408907468944,77.03794140849783,331.219.4264x155,08:00,22:00,3.83
45,WellCare Medical #45,"96299 Jasmine Island, Fordbury, PW 15744",11.007550292592445,77.02648995697184,001-381-602-8851x65880,08:00,22:00,4.86
