id,pharmacy_id,medicine_id,stock_quantity,price,availability_status,last_updated
1,1,8164,15,63.23,in_stock,2026-02-08 21:42:20
2,1,11281,37,271.44,in_stock,2026-02-14 09:31:45
3,1,3853,38,323.86,in_stock,2026-02-27 05:28:40
4,1,10506,42,36.55,in_stock,2026-02-28 02:29:34
5,1,9326,39,293.94,in_stock,2026-02-13 13:24:20
6,1,11168,21,236.62,in_stock,2026-02-20 03:02:05
7,1,7636,34,264.75,in_stock,2026-01-21 07:02:06
8,1,5775,0,489.15,out_of_stock,2026-02-09 06:57:18
9,1,6037,0,19.64,out_of_stock,2026-02-12 15:26:31
10,1,4076,46,327.28,in_stock,2026-03-01 11:41:16
11,1,11285,32,311.72,in_stock,2026-01-05 04:40:18
12,1,10917,1,232.28,in_stock,2026-01-23 14:06:46
13,1,4071,35,277.23,in_stock,2026-02-10 03:53:18
14,1,1086,6,13.11,in_stock,2026-02-07 21:47:02
15,1,11744,0,251.39,out_of_stock,2026-01-10 13:43:05
16,1,2262,25,302.86,in_stock,2026-01-23 13:53:36
17,1,1843,45,436.82,in_stock,2026-03-06 22:52:09
18,1,5651,44,274.19,in_stock,2026-02-21 08:25:04
19,1,8533,19,132.68,in_stock,2026-01-18 16:10:05
20,1,7644,5,83.78,in_stock,2026-02-04 04:39:31
21,1,5484,8,93.26,in_stock,2026-02-19 11:19:47
22,1,182,31,259.81,in_stock,2026-02-11 02:12:31
23,1,11824,38,285.3,in_stock,2026-02-24 07:30:59
24,1,1943,34,157.05,in_stock,2026-03-06 07:26:06
25,1,4039,10,239.04,in_stock,2026-02-08 03:05:32
26,1,10014,47,217.06,in_stock,2026-01-21 21:27:30
27,1,3851,14,147.14,in_stock,2026-02-16 08:12:50
28,1,10502,18,219.39,in_stock,2026-02-11 01:53:14
29,1,6392,47,301.02,in_stock,2026-01-12 12:01:05
30,1,4689,11,396.62,in_stock,2026-02-08 12:19:54
31,1,4174,41,495.49,in_stock,2026-02-15 18:44:06
32,1,5962,16,139.23,in_stock,2026-01-23 09:29:53
